,ap,lat,seg
0,totalsegmentator/Totalsegmentator_dataset/s0190/derivatives/xray_from_ct/s0190_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0190/derivatives/xray_from_ct/s0190_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0190/derivatives/seg_roi/s0190_femur_left_msk.nii.gz
1,totalsegmentator/Totalsegmentator_dataset/s0190/derivatives/xray_from_ct/s0190_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0190/derivatives/xray_from_ct/s0190_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0190/derivatives/seg_roi/s0190_femur_right_msk.nii.gz
2,totalsegmentator/Totalsegmentator_dataset/s1267/derivatives/xray_from_ct/s1267_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s1267/derivatives/xray_from_ct/s1267_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s1267/derivatives/seg_roi/s1267_femur_left_msk.nii.gz
3,totalsegmentator/Totalsegmentator_dataset/s1267/derivatives/xray_from_ct/s1267_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s1267/derivatives/xray_from_ct/s1267_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s1267/derivatives/seg_roi/s1267_femur_right_msk.nii.gz
4,totalsegmentator/Totalsegmentator_dataset/s0624/derivatives/xray_from_ct/s0624_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0624/derivatives/xray_from_ct/s0624_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0624/derivatives/seg_roi/s0624_femur_left_msk.nii.gz
5,totalsegmentator/Totalsegmentator_dataset/s0624/derivatives/xray_from_ct/s0624_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0624/derivatives/xray_from_ct/s0624_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0624/derivatives/seg_roi/s0624_femur_right_msk.nii.gz
6,totalsegmentator/Totalsegmentator_dataset/s0749/derivatives/xray_from_ct/s0749_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0749/derivatives/xray_from_ct/s0749_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0749/derivatives/seg_roi/s0749_femur_left_msk.nii.gz
7,totalsegmentator/Totalsegmentator_dataset/s0749/derivatives/xray_from_ct/s0749_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0749/derivatives/xray_from_ct/s0749_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0749/derivatives/seg_roi/s0749_femur_right_msk.nii.gz
8,totalsegmentator/Totalsegmentator_dataset/s0218/derivatives/xray_from_ct/s0218_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0218/derivatives/xray_from_ct/s0218_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0218/derivatives/seg_roi/s0218_femur_left_msk.nii.gz
9,totalsegmentator/Totalsegmentator_dataset/s0218/derivatives/xray_from_ct/s0218_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0218/derivatives/xray_from_ct/s0218_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0218/derivatives/seg_roi/s0218_femur_right_msk.nii.gz
10,totalsegmentator/Totalsegmentator_dataset/s0600/derivatives/xray_from_ct/s0600_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0600/derivatives/xray_from_ct/s0600_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0600/derivatives/seg_roi/s0600_femur_left_msk.nii.gz
11,totalsegmentator/Totalsegmentator_dataset/s0600/derivatives/xray_from_ct/s0600_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0600/derivatives/xray_from_ct/s0600_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0600/derivatives/seg_roi/s0600_femur_right_msk.nii.gz
12,totalsegmentator/Totalsegmentator_dataset/s0617/derivatives/xray_from_ct/s0617_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0617/derivatives/xray_from_ct/s0617_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0617/derivatives/seg_roi/s0617_femur_left_msk.nii.gz
13,totalsegmentator/Totalsegmentator_dataset/s0617/derivatives/xray_from_ct/s0617_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0617/derivatives/xray_from_ct/s0617_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0617/derivatives/seg_roi/s0617_femur_right_msk.nii.gz
14,totalsegmentator/Totalsegmentator_dataset/s0553/derivatives/xray_from_ct/s0553_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0553/derivatives/xray_from_ct/s0553_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0553/derivatives/seg_roi/s0553_femur_left_msk.nii.gz
15,totalsegmentator/Totalsegmentator_dataset/s0553/derivatives/xray_from_ct/s0553_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0553/derivatives/xray_from_ct/s0553_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0553/derivatives/seg_roi/s0553_femur_right_msk.nii.gz
16,totalsegmentator/Totalsegmentator_dataset/s0694/derivatives/xray_from_ct/s0694_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0694/derivatives/xray_from_ct/s0694_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0694/derivatives/seg_roi/s0694_femur_left_msk.nii.gz
17,totalsegmentator/Totalsegmentator_dataset/s0694/derivatives/xray_from_ct/s0694_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0694/derivatives/xray_from_ct/s0694_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0694/derivatives/seg_roi/s0694_femur_right_msk.nii.gz
18,totalsegmentator/Totalsegmentator_dataset/s0612/derivatives/xray_from_ct/s0612_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0612/derivatives/xray_from_ct/s0612_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0612/derivatives/seg_roi/s0612_femur_left_msk.nii.gz
19,totalsegmentator/Totalsegmentator_dataset/s0612/derivatives/xray_from_ct/s0612_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0612/derivatives/xray_from_ct/s0612_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0612/derivatives/seg_roi/s0612_femur_right_msk.nii.gz
20,totalsegmentator/Totalsegmentator_dataset/s0686/derivatives/xray_from_ct/s0686_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0686/derivatives/xray_from_ct/s0686_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0686/derivatives/seg_roi/s0686_femur_left_msk.nii.gz
21,totalsegmentator/Totalsegmentator_dataset/s0686/derivatives/xray_from_ct/s0686_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0686/derivatives/xray_from_ct/s0686_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0686/derivatives/seg_roi/s0686_femur_right_msk.nii.gz
22,totalsegmentator/Totalsegmentator_dataset/s0971/derivatives/xray_from_ct/s0971_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0971/derivatives/xray_from_ct/s0971_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0971/derivatives/seg_roi/s0971_femur_left_msk.nii.gz
23,totalsegmentator/Totalsegmentator_dataset/s0971/derivatives/xray_from_ct/s0971_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0971/derivatives/xray_from_ct/s0971_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0971/derivatives/seg_roi/s0971_femur_right_msk.nii.gz
