,ap,lat,seg
0,totalsegmentator/Totalsegmentator_dataset/s1143/derivatives/xray_from_ct/s1143_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s1143/derivatives/xray_from_ct/s1143_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s1143/derivatives/seg_roi/s1143_femur_left_msk.nii.gz
1,totalsegmentator/Totalsegmentator_dataset/s1143/derivatives/xray_from_ct/s1143_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s1143/derivatives/xray_from_ct/s1143_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s1143/derivatives/seg_roi/s1143_femur_right_msk.nii.gz
2,totalsegmentator/Totalsegmentator_dataset/s0613/derivatives/xray_from_ct/s0613_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0613/derivatives/xray_from_ct/s0613_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0613/derivatives/seg_roi/s0613_femur_left_msk.nii.gz
3,totalsegmentator/Totalsegmentator_dataset/s0613/derivatives/xray_from_ct/s0613_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0613/derivatives/xray_from_ct/s0613_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0613/derivatives/seg_roi/s0613_femur_right_msk.nii.gz
4,totalsegmentator/Totalsegmentator_dataset/s0015/derivatives/xray_from_ct/s0015_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0015/derivatives/xray_from_ct/s0015_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0015/derivatives/seg_roi/s0015_femur_left_msk.nii.gz
5,totalsegmentator/Totalsegmentator_dataset/s0015/derivatives/xray_from_ct/s0015_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0015/derivatives/xray_from_ct/s0015_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0015/derivatives/seg_roi/s0015_femur_right_msk.nii.gz
6,totalsegmentator/Totalsegmentator_dataset/s1400/derivatives/xray_from_ct/s1400_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s1400/derivatives/xray_from_ct/s1400_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s1400/derivatives/seg_roi/s1400_femur_left_msk.nii.gz
7,totalsegmentator/Totalsegmentator_dataset/s1400/derivatives/xray_from_ct/s1400_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s1400/derivatives/xray_from_ct/s1400_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s1400/derivatives/seg_roi/s1400_femur_right_msk.nii.gz
8,totalsegmentator/Totalsegmentator_dataset/s0884/derivatives/xray_from_ct/s0884_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0884/derivatives/xray_from_ct/s0884_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0884/derivatives/seg_roi/s0884_femur_left_msk.nii.gz
9,totalsegmentator/Totalsegmentator_dataset/s0884/derivatives/xray_from_ct/s0884_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0884/derivatives/xray_from_ct/s0884_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0884/derivatives/seg_roi/s0884_femur_right_msk.nii.gz
10,totalsegmentator/Totalsegmentator_dataset/s0944/derivatives/xray_from_ct/s0944_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0944/derivatives/xray_from_ct/s0944_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0944/derivatives/seg_roi/s0944_femur_left_msk.nii.gz
11,totalsegmentator/Totalsegmentator_dataset/s0944/derivatives/xray_from_ct/s0944_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0944/derivatives/xray_from_ct/s0944_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0944/derivatives/seg_roi/s0944_femur_right_msk.nii.gz
12,totalsegmentator/Totalsegmentator_dataset/s0611/derivatives/xray_from_ct/s0611_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0611/derivatives/xray_from_ct/s0611_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0611/derivatives/seg_roi/s0611_femur_left_msk.nii.gz
13,totalsegmentator/Totalsegmentator_dataset/s0611/derivatives/xray_from_ct/s0611_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s0611/derivatives/xray_from_ct/s0611_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s0611/derivatives/seg_roi/s0611_femur_right_msk.nii.gz
14,totalsegmentator/Totalsegmentator_dataset/s1387/derivatives/xray_from_ct/s1387_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s1387/derivatives/xray_from_ct/s1387_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s1387/derivatives/seg_roi/s1387_femur_left_msk.nii.gz
15,totalsegmentator/Totalsegmentator_dataset/s1387/derivatives/xray_from_ct/s1387_femur_right-ap.png,totalsegmentator/Totalsegmentator_dataset/s1387/derivatives/xray_from_ct/s1387_femur_right-lat.png,totalsegmentator/Totalsegmentator_dataset/s1387/derivatives/seg_roi/s1387_femur_right_msk.nii.gz
16,totalsegmentator/Totalsegmentator_dataset/s0543/derivatives/xray_from_ct/s0543_femur_left-ap.png,totalsegmentator/Totalsegmentator_dataset/s0543/derivatives/xray_from_ct/s0543_femur_left-lat.png,totalsegmentator/Totalsegmentator_dataset/s0543/derivatives/seg_roi/s0543_femur_left_msk.nii.gz
