,ap,lat,seg
0,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-10_ap.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-10_lat.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/seg_roi/rsna-76_vert-1-seg-vert_msk.nii.gz
1,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-11_ap.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-11_lat.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/seg_roi/rsna-76_vert-10-seg-vert_msk.nii.gz
2,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-1_ap.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-1_lat.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/seg_roi/rsna-76_vert-11-seg-vert_msk.nii.gz
3,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-2_ap.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-2_lat.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/seg_roi/rsna-76_vert-2-seg-vert_msk.nii.gz
4,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-3_ap.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-3_lat.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/seg_roi/rsna-76_vert-3-seg-vert_msk.nii.gz
5,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-4_ap.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-4_lat.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/seg_roi/rsna-76_vert-4-seg-vert_msk.nii.gz
6,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-5_ap.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-5_lat.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/seg_roi/rsna-76_vert-5-seg-vert_msk.nii.gz
7,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-6_ap.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-6_lat.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/seg_roi/rsna-76_vert-6-seg-vert_msk.nii.gz
8,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-7_ap.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-7_lat.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/seg_roi/rsna-76_vert-7-seg-vert_msk.nii.gz
9,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-8_ap.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/xray_from_ct/rsna-76_vert-8_lat.png,rsna_cervical_fracture/subjectwise/rsna-76/derivatives/seg_roi/rsna-76_vert-8-seg-vert_msk.nii.gz
