,ap,lat,seg
0,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s1143/derivatives/xray_from_ct/s1143_femur_left-ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s1143/derivatives/xray_from_ct/s1143_femur_left-lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s1143/derivatives/seg_roi/s1143_femur_left_msk.nii.gz
1,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s1143/derivatives/xray_from_ct/s1143_femur_right-ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s1143/derivatives/xray_from_ct/s1143_femur_right-lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s1143/derivatives/seg_roi/s1143_femur_right_msk.nii.gz
2,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0613/derivatives/xray_from_ct/s0613_femur_left-ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0613/derivatives/xray_from_ct/s0613_femur_left-lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0613/derivatives/seg_roi/s0613_femur_left_msk.nii.gz
3,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0613/derivatives/xray_from_ct/s0613_femur_right-ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0613/derivatives/xray_from_ct/s0613_femur_right-lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0613/derivatives/seg_roi/s0613_femur_right_msk.nii.gz
4,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0015/derivatives/xray_from_ct/s0015_femur_left-ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0015/derivatives/xray_from_ct/s0015_femur_left-lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0015/derivatives/seg_roi/s0015_femur_left_msk.nii.gz
5,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0015/derivatives/xray_from_ct/s0015_femur_right-ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0015/derivatives/xray_from_ct/s0015_femur_right-lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0015/derivatives/seg_roi/s0015_femur_right_msk.nii.gz
6,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s1400/derivatives/xray_from_ct/s1400_femur_left-ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s1400/derivatives/xray_from_ct/s1400_femur_left-lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s1400/derivatives/seg_roi/s1400_femur_left_msk.nii.gz
7,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s1400/derivatives/xray_from_ct/s1400_femur_right-ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s1400/derivatives/xray_from_ct/s1400_femur_right-lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s1400/derivatives/seg_roi/s1400_femur_right_msk.nii.gz
8,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0884/derivatives/xray_from_ct/s0884_femur_left-ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0884/derivatives/xray_from_ct/s0884_femur_left-lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0884/derivatives/seg_roi/s0884_femur_left_msk.nii.gz
9,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0884/derivatives/xray_from_ct/s0884_femur_right-ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0884/derivatives/xray_from_ct/s0884_femur_right-lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/totalsegmentator/Totalsegmentator_dataset/s0884/derivatives/seg_roi/s0884_femur_right_msk.nii.gz
