,ap,lat,seg
0,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-10_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-10_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-10-seg-vert_msk.nii.gz
1,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-11_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-11_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-11-seg-vert_msk.nii.gz
2,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-12_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-12_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-12-seg-vert_msk.nii.gz
3,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-13_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-13_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-13-seg-vert_msk.nii.gz
4,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-14_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-14_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-14-seg-vert_msk.nii.gz
5,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-15_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-15_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-15-seg-vert_msk.nii.gz
6,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-16_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-16_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-16-seg-vert_msk.nii.gz
7,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-17_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-17_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-17-seg-vert_msk.nii.gz
8,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-18_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-18_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-18-seg-vert_msk.nii.gz
9,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-19_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-19_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-19-seg-vert_msk.nii.gz
10,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-20_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-20_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-20-seg-vert_msk.nii.gz
11,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-21_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-21_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-21-seg-vert_msk.nii.gz
12,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-22_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-22_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-22-seg-vert_msk.nii.gz
13,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-23_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-23_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-23-seg-vert_msk.nii.gz
14,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-24_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/xray_from_ct/sub-verse569_vert-24_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/verse20/subjectwise/sub-verse569/derivatives/seg_roi/sub-verse569_vert-24-seg-vert_msk.nii.gz
