,ap,lat,seg
0,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-10_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-10_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/seg_roi/LIDC-IDRI-LUNA-0094_vert-10-seg-vert_msk.nii.gz
1,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-11_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-11_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/seg_roi/LIDC-IDRI-LUNA-0094_vert-11-seg-vert_msk.nii.gz
2,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-12_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-12_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/seg_roi/LIDC-IDRI-LUNA-0094_vert-12-seg-vert_msk.nii.gz
3,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-13_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-13_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/seg_roi/LIDC-IDRI-LUNA-0094_vert-13-seg-vert_msk.nii.gz
4,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-14_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-14_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/seg_roi/LIDC-IDRI-LUNA-0094_vert-14-seg-vert_msk.nii.gz
5,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-15_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-15_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/seg_roi/LIDC-IDRI-LUNA-0094_vert-15-seg-vert_msk.nii.gz
6,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-16_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-16_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/seg_roi/LIDC-IDRI-LUNA-0094_vert-16-seg-vert_msk.nii.gz
7,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-17_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-17_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/seg_roi/LIDC-IDRI-LUNA-0094_vert-17-seg-vert_msk.nii.gz
8,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-18_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-18_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/seg_roi/LIDC-IDRI-LUNA-0094_vert-18-seg-vert_msk.nii.gz
9,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-8_ap.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/xray_from_ct/LIDC-IDRI-LUNA-0094_vert-8_lat.png,/mnt/Enterprise/mahesh/2D-3D-Reconstruction-Datasets/lidc/subjectwise/LIDC-IDRI-LUNA-0094/derivatives/seg_roi/LIDC-IDRI-LUNA-0094_vert-8-seg-vert_msk.nii.gz
