subject-id,image-filename,segmentation-filename
img0073,./Testing/img/img0073.nii.gz,./dataset1_img0073_mask_4label.nii.gz
img0071,./Testing/img/img0071.nii.gz,./dataset1_img0071_mask_4label.nii.gz
img0068,./Testing/img/img0068.nii.gz,./dataset1_img0068_mask_4label.nii.gz
img0080,./Testing/img/img0080.nii.gz,./dataset1_img0080_mask_4label.nii.gz
img0061,./Testing/img/img0061.nii.gz,./dataset1_img0061_mask_4label.nii.gz
img0065,./Testing/img/img0065.nii.gz,./dataset1_img0065_mask_4label.nii.gz
img0069,./Testing/img/img0069.nii.gz,./dataset1_img0069_mask_4label.nii.gz
img0079,./Testing/img/img0079.nii.gz,./dataset1_img0079_mask_4label.nii.gz
img0077,./Testing/img/img0077.nii.gz,./dataset1_img0077_mask_4label.nii.gz
img0072,./Testing/img/img0072.nii.gz,./dataset1_img0072_mask_4label.nii.gz
img0066,./Testing/img/img0066.nii.gz,./dataset1_img0066_mask_4label.nii.gz
img0067,./Testing/img/img0067.nii.gz,./dataset1_img0067_mask_4label.nii.gz
img0075,./Testing/img/img0075.nii.gz,./dataset1_img0075_mask_4label.nii.gz
img0040,./Training/img/img0040.nii.gz,./dataset1_img0040_mask_4label.nii.gz
img0007,./Training/img/img0007.nii.gz,./dataset1_img0007_mask_4label.nii.gz
img0039,./Training/img/img0039.nii.gz,./dataset1_img0039_mask_4label.nii.gz
img0036,./Training/img/img0036.nii.gz,./dataset1_img0036_mask_4label.nii.gz
img0025,./Training/img/img0025.nii.gz,./dataset1_img0025_mask_4label.nii.gz
img0034,./Training/img/img0034.nii.gz,./dataset1_img0034_mask_4label.nii.gz
img0026,./Training/img/img0026.nii.gz,./dataset1_img0026_mask_4label.nii.gz
img0008,./Training/img/img0008.nii.gz,./dataset1_img0008_mask_4label.nii.gz
img0021,./Training/img/img0021.nii.gz,./dataset1_img0021_mask_4label.nii.gz
img0001,./Training/img/img0001.nii.gz,./dataset1_img0001_mask_4label.nii.gz
img0037,./Training/img/img0037.nii.gz,./dataset1_img0037_mask_4label.nii.gz
img0006,./Training/img/img0006.nii.gz,./dataset1_img0006_mask_4label.nii.gz
img0023,./Training/img/img0023.nii.gz,./dataset1_img0023_mask_4label.nii.gz
img0022,./Training/img/img0022.nii.gz,./dataset1_img0022_mask_4label.nii.gz
img0030,./Training/img/img0030.nii.gz,./dataset1_img0030_mask_4label.nii.gz
img0028,./Training/img/img0028.nii.gz,./dataset1_img0028_mask_4label.nii.gz
img0002,./Training/img/img0002.nii.gz,./dataset1_img0002_mask_4label.nii.gz
img0024,./Training/img/img0024.nii.gz,./dataset1_img0024_mask_4label.nii.gz
img0004,./Training/img/img0004.nii.gz,./dataset1_img0004_mask_4label.nii.gz
img0010,./Training/img/img0010.nii.gz,./dataset1_img0010_mask_4label.nii.gz
img0032,./Training/img/img0032.nii.gz,./dataset1_img0032_mask_4label.nii.gz
img0003,./Training/img/img0003.nii.gz,./dataset1_img0003_mask_4label.nii.gz
