subject-id,segmentation-filename,image-filename
colon_001,dataset3_colon_001_mask_4label.nii.gz,./imagesTr/colon_001.nii.gz
colon_003,dataset3_colon_003_mask_4label.nii.gz,./imagesTs/colon_003.nii.gz
colon_004,dataset3_colon_004_mask_4label.nii.gz,./imagesTs/colon_004.nii.gz
colon_005,dataset3_colon_005_mask_4label.nii.gz,./imagesTr/colon_005.nii.gz
colon_008,dataset3_colon_008_mask_4label.nii.gz,./imagesTr/colon_008.nii.gz
colon_009,dataset3_colon_009_mask_4label.nii.gz,./imagesTr/colon_009.nii.gz
colon_011,dataset3_colon_011_mask_4label.nii.gz,./imagesTr/colon_011.nii.gz
colon_012,dataset3_colon_012_mask_4label.nii.gz,./imagesTr/colon_012.nii.gz
colon_013,dataset3_colon_013_mask_4label.nii.gz,./imagesTs/colon_013.nii.gz
colon_017,dataset3_colon_017_mask_4label.nii.gz,./imagesTs/colon_017.nii.gz
colon_019,dataset3_colon_019_mask_4label.nii.gz,./imagesTs/colon_019.nii.gz
colon_020,dataset3_colon_020_mask_4label.nii.gz,./imagesTs/colon_020.nii.gz
colon_021,dataset3_colon_021_mask_4label.nii.gz,./imagesTs/colon_021.nii.gz
colon_022,dataset3_colon_022_mask_4label.nii.gz,./imagesTr/colon_022.nii.gz
colon_023,dataset3_colon_023_mask_4label.nii.gz,./imagesTs/colon_023.nii.gz
colon_024,dataset3_colon_024_mask_4label.nii.gz,./imagesTr/colon_024.nii.gz
colon_025,dataset3_colon_025_mask_4label.nii.gz,./imagesTr/colon_025.nii.gz
colon_028,dataset3_colon_028_mask_4label.nii.gz,./imagesTr/colon_028.nii.gz
colon_030,dataset3_colon_030_mask_4label.nii.gz,./imagesTr/colon_030.nii.gz
colon_031,dataset3_colon_031_mask_4label.nii.gz,./imagesTr/colon_031.nii.gz
colon_032,dataset3_colon_032_mask_4label.nii.gz,./imagesTr/colon_032.nii.gz
colon_033,dataset3_colon_033_mask_4label.nii.gz,./imagesTr/colon_033.nii.gz
colon_036,dataset3_colon_036_mask_4label.nii.gz,./imagesTr/colon_036.nii.gz
colon_037,dataset3_colon_037_mask_4label.nii.gz,./imagesTs/colon_037.nii.gz
colon_039,dataset3_colon_039_mask_4label.nii.gz,./imagesTr/colon_039.nii.gz
colon_040,dataset3_colon_040_mask_4label.nii.gz,./imagesTr/colon_040.nii.gz
colon_041,dataset3_colon_041_mask_4label.nii.gz,./imagesTr/colon_041.nii.gz
colon_045,dataset3_colon_045_mask_4label.nii.gz,./imagesTr/colon_045.nii.gz
colon_046,dataset3_colon_046_mask_4label.nii.gz,./imagesTr/colon_046.nii.gz
colon_048,dataset3_colon_048_mask_4label.nii.gz,./imagesTs/colon_048.nii.gz
colon_049,dataset3_colon_049_mask_4label.nii.gz,./imagesTs/colon_049.nii.gz
colon_050,dataset3_colon_050_mask_4label.nii.gz,./imagesTr/colon_050.nii.gz
colon_053,dataset3_colon_053_mask_4label.nii.gz,./imagesTr/colon_053.nii.gz
colon_054,dataset3_colon_054_mask_4label.nii.gz,./imagesTr/colon_054.nii.gz
